mmsi,lat,lon,sog,cog,haeding,vesselname,imo,callsign,vesseltype,status,length,width,draft,cargo,tclass,direction
366685950,42.33328235646968,36.14061028136508,5.1,88.2,123,SPIRIT OF SAN DIEGO,,WCS9446,60,0,34,9,,,B,ns
366996460,43.01892404196708,29.849731297992783,3.1,-119.4,291,FILLY,,WDC2691,31,0,17,6,,,B,ns
367550510,45.26022140035471,36.553639981363084,5.5,-123.9,284,ALEX PIEHET,,WDG5809,31,12,26,,,,B,
372742000,41.41214398543578,29.13156370851742,0,160.2,193,YOU & ISLAND,IMO9605085,HOHX,70,5,179,29,10.5,70,A,
366950080,36.6069262360937,28.443799793695003,0,-196,511,C-TRUC 8,IMO8123523,WDB7934,90,0,64,12,3.7,,B,
355364000,36.47625955963363,28.779725427321157,6.2,-186.7,220,LUMEN N,IMO9346457,3FPC4,80,0,228,33,8.2,80,B,
366875020,36.03439494550675,26.352661947336895,0,-138.9,82,PIC,IMO8644515,WDB2355,31,0,17,6,,31,B,sn
366919770,35.80192165502124,-4.322501228289858,0,-58.3,33,LYNN MARIE,IMO9253583,WDB6192,31,5,29,12,3.8,52,A,we
367458590,36.17707448656781,-3.6451186189493647,0,-49.6,511,TERAH HUCKABEE,IMO8850970,WDF5033,31,0,32,10,,,B,we
366831930,41.47118055699378,29.21712458061599,-0.1,-49.6,234,MILLENNIUM,IMO8994051,WDG2854,60,0,37,9,1.9,,B,
367497610,41.44100142654581,29.537510424384116,0,-60.7,255,PINUCCIA,IMO8852722,WDH9186,31,0,35,8,3.5,52,B,
366897820,40.736023278828,29.90647719165331,0.1,-115.7,511,CHARLES D MCALLISTER,IMO6801418,WDB4383,31,0,32,8,3.8,52,B,
367477690,36.86492020727486,28.644133470858936,0,-179.4,511,FORT MACON,IMO5238779,WDF6773,31,0,26,7,3.1,,B,
367353070,36.38048032010146,30.74305384663254,10.4,-50.6,0,EVERGREEN STATE,IMO9408138,WDE4430,80,0,183,32,11.8,89,B,
477096700,36.60996828284936,31.23082188637218,14.9,149.7,150,DA WEI SHAN,IMO9803118,VRQW7,,0,,,,,B,
538070284,36.575361838844685,25.956280959365788,0,-197,511,COSTA BRAVA III,,V7LE5,37,0,,,,0,B,sn
367377380,37.835618654673134,7.87518352583719,0,68.7,278,FREEDOM,,WYR2173,60,0,29,12,,,B,ew
367426950,36.542438000698056,-1.6702852537092976,0,-181.4,511,INTEGRITY,,WDF9138,31,12,26,9,,,B,ew
353423000,35.763035984833024,-4.303218925178904,7.2,-85.8,334,GERAKAS,IMO9399894,3EYH8,80,0,183,32,13,80,B,we
339335000,35.907490497432995,-5.282027892100756,0,-129.9,65,ARCTIC PRIDE,,6YRQ5,37,5,,,,,A,we
367581000,41.677402185436826,29.654653707550768,0,204.4,244,VALIANT,IMO7005841,WDG4392,30,0,27,8,,30,B,ns
338713000,45.28258195630134,36.468725764954506,0,-53.3,511,PAUL JOHANSEN,,WDG9506,60,,19,6,,,B,
367627870,41.40693152865024,29.001688040489267,0,0,511,SJSO SENTINEL,,WDH5429,90,0,,,,,B,
367395270,44.7781868242623,30.908248280378725,0,-105.3,304,ALTON ST AMANT,,WDE7604,31,0,25,9,,57,B,ns
316182000,45.26375179088858,36.46501838572461,0.3,163.7,133,CCGS BARTLETT,IMO7006778,CGDR,90,1,57,13,3.8,,A,
538005956,32.282732296157626,31.838420940370412,20.8,85.2,85,YM ULTIMATE,IMO9302645,V7IK7,70,0,335,42,14.5,71,B,sw
367707370,33.88964499933699,30.056913013516212,7,-193.7,511,MARILYN J,,WDI5320,30,,17,5,,,B,sw
366896710,36.48626244619845,30.766519230044537,0,-142.7,98,SPIRIT,,WDE2507,37,0,33,7,,,B,
367770270,36.5936490583673,30.57577165568373,0,60.2,59,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B,
366857410,33.22631693633507,28.155945517753352,0,-144,511,DONAL G MCALLISTER,IMO8980880,WDA8725,31,0,33,9,4.3,52,B,sn
368108120,35.65194756494522,-4.659821372743304,0.6,-155,224,PORTER J. FURLONG,,WDK9974,31,0,56,16,3,31,B,we
367390380,40.73863354709003,29.89390646838256,0,-108.5,511,SEAFREEZE ALASKA,IMO6931043,WDE7203,30,0,89,13,5.8,,B,
367543880,40.707931152640256,28.969480144158567,0,-49.6,511,CONNIE K,,WDG5156,31,0,30,8,,,B,
367556020,36.54044310028942,31.056881067231355,0,-156.8,236,SAVAGE SPIRIT,,WDG6346,31,15,25,,,,B,
367726950,37.997834768233076,2.167858550811995,0,-49.6,260,GAIL CECILIA,,WDI7262,31,15,,,,,A,ns
338087003,36.77863611155074,18.545530206059595,0,-173.3,511,BRIDIE,,,37,,12,,,,B,ew
367302470,41.49352182849161,5.868044521263784,0.1,49.8,359,ELECTRA,,WDD8764,37,1,26,6,,37,A,ns
367404910,42.387200434956036,10.76651037551185,0,96.5,63,SAN BRENDAN,,WDE8388,31,12,24,9,,31,B,sn
367321070,39.25572944481144,3.85580758867244,6.5,57.7,511,DREMA G WOODS,,WDE2147,31,0,32,8,,31,B,ns
367157090,42.551034863319686,35.26442242114831,0,101.1,511,COASTAL DAWN,IMO8644589,WDD5358,31,0,19,7,,,B,ns
367033250,42.80496198307514,10.400117709175792,0,191.3,511,KYLE JOSEPH,,WDC4945,31,0,21,8,5,31,B,sn
367550490,41.488133827514375,29.584057253835102,0,183.2,103,NICK CIMO,,WDG5808,31,0,27,,,,B,
367371850,32.08060301194214,31.049314100160444,0,-97.7,128,SASSAFRAS,IMO9544243,WDE5807,31,0,29,9,3.6,31,B,sw
366014000,36.47602606794598,31.202816649540893,0.2,-191.6,230,ODYSSEA KNIGHT,IMO9302279,KBAF,90,0,80,16,5.8,70,B,
367693160,36.3329880052516,30.87719285761108,3,114.4,115,CECIL V NEAL,,WDI3906,31,15,23,,,,B,
367666060,37.703858533917824,6.7866931886072654,0,-163.6,511,CAPE FEAR PILOT III,,WDH9241,,15,15,,,,B,ew
367052120,37.0374235438271,2.3388723000635845,0,-157.3,50,JAMES L OBERSTAR,,WDC6154,31,0,25,9,,31,B,ew
367138360,37.24641460300651,6.977450363439975,0,-157.5,511,ENERGY ZEUS,IMO9397377,WDD3941,31,5,29,10,3.7,52,A,ew
367638590,36.27336981875206,-2.6620936441839005,6.1,-140.9,246,DENNIS CHAMBERS,,WDH6497,90,5,21,9,,,B,we
367333720,36.51599697254628,21.78229125302282,0,16.5,43,LUCIANA MOORE,,WDH3359,31,0,31,8,,,B,ew
367523350,34.97275,-90.29045,11.6,130.8,125,"BIG ""D""",,WDG3181,31,0,40,,,,B,
366958450,27.81875,-97.47339,6.2,-123.5,284,ANNAPOLIS,,WCY7799,31,0,21,9,,57,B,
367473530,32.91077,-79.94482,0.1,72.1,511,ISLAND TIDE,IMO8992479,WDF6369,31,0,16,7,,31,B,
367552890,25.31267,-80.281,0,-160.9,511,BLUE RIDGE,,WDG6041,37,0,28,,,,B,
367090310,27.81964,-97.02332,0.1,104.6,511,SUN OF MAN,,WDC8620,60,0,33,7,,,B,
338215875,32.70606,-117.16639,0,145,511,ANAIS,,,37,,,,,,B,
316002065,41.49147,-81.69983,0,-58.3,154,PETITE FORTE,IMO6826119,CFG3677,31,5,38,10,4.4,,A,
367486640,57.05917,-135.35475,0,-97.3,511,QB,,WDF7647,37,,13,4,,,B,
367520270,31.66112,-91.40031,9.4,180.4,182,PATRIOT,,WDG2884,31,12,29,,,,B,
367430810,27.84314,-97.07616,0,111.7,511,MISS BECKY,IMO8987307,WDF2693,31,5,25,8,2.7,,A,
367087370,44.35601222289954,37.290716503281686,0.2,149.2,511,TREMONT,IMO7037849,WDC8455,0,0,0,0,4.5,0,B,ns
366978440,45.27702943841131,36.447170629362,0,-102.5,511,MISSOURI,,WAI9279,31,0,26,7,,52,B,
319003900,46.33578079017063,32.36765698116122,0,-52.5,1,UNBRIDLED,IMO9526318,ZCXS6,37,5,58,10,2.7,,A,ns
367721010,36.6557093949483,27.482991088684276,0.3,-146.8,511,MARY ROSE,,WDI6668,31,0,21,,,,B,sw
367015670,33.74599508624928,29.99301993690031,0,-152.7,511,RAINBOW,IMO8987345,WDC3878,31,0,26,9,,52,B,sw
367692120,31.165862004559877,29.6414634778988,3.3,39.1,36,KATHLEEN DUPRE,,WDI3806,31,0,22,,,,B,sn
367002220,42.66382110982457,30.37082859389264,0,0,511,DORINE BRUSCO,IMO8034851,WDC3068,31,0,30,8,3.9,,B,ns
357743000,43.69564747455769,30.392776954896675,11.3,184.9,185,BRIGHT OCEAN III,IMO9615327,3EZD9,70,0,177,28,10.9,79,B,ns
366978710,45.260373950205484,36.65720115849313,0.1,-165.6,270,GYRFALCON,IMO9125750,WCU6587,31,0,30,10,3.7,31,B,
367641290,41.2423983799678,29.071247013091135,5.7,88.4,511,CAPT SKINNY,,WDH6753,31,0,16,6,,,B,
366962950,36.37317429792595,31.483365782473573,0,-160.4,511,TODD BROWN,,WDB8694,31,0,22,8,,,B,
367606370,36.6250884755038,30.557347774311506,6.8,-105.6,303,PAT BOONE,,WDH3305,31,0,15,6,,52,B,
367471910,36.45169631445375,0.4174606411648152,0,174,7,STEVE SCALISE,,WDF6218,31,0,24,9,,,B,ns
367503060,29.92662,-90.19587,8.6,-165.5,245,BLANCO,,WDF9237,31,12,25,9,,,A,
366967360,41.73400865739778,29.938902958138744,0,-173.3,511,HELEN MORAN,IMO6520856,WCL5699,31,0,31,8,4.7,,B,ns
368065590,41.41615452309813,29.124700420214058,0,-193.2,511,M/V VICTORIA,,WDK5516,90,0,16,6,2.5,90,B,
367744120,37.32123514266045,26.110288505504098,0,-164.8,511,TED KAYSER,,WDI8984,31,15,18,,,,B,sw
367443920,36.57434746169599,31.340291219363476,1.3,44,242,JOHN 3:16,IMO8975835,WDF3781,31,0,21,8,,31,A,
367657060,31.49098478176061,29.530824437171226,0.1,33.5,511,SEA VENTURE,,WDH8347,30,,22,,,,B,sn
367004450,36.98332319999354,1.8172050179151593,0,0,511,TENNER C,IMO7046120,WCP9680,52,0,33,10,4.5,52,B,ew
378111106,43.87942039876621,9.60783241182483,0,141.1,511,NICOLIN,,ZJL7474,37,,,,,,B,sn
367057830,29.76803,-95.09267,0.2,87.6,511,BURNS JOHNSON JR.,,WDC6554,31,15,18,8,,,B,
212911000,46.34038848974521,31.52612416591836,0,-124.2,180,LEMESSOS QUEEN,IMO9464417,5BVR4,70,5,224,32,14.1,70,A,ns
366909530,44.52419123627199,30.614458575660347,0.1,-112.1,511,RODERICK MCALLISTER,IMO6807216,WDB5428,31,0,32,8,3.8,52,B,ns
367116420,36.4741164299601,30.987091831124893,5.7,-82.6,511,EDNA T GATTLE,,WDD2528,31,0,30,9,,,B,
338792000,36.41799486060303,31.158513368038083,0,-100.8,81,TITAN,IMO8964604,WDH4910,90,0,51,12,3,,B,
367468920,37.034174315195926,3.490090922189457,0,-107.9,511,ELWOOD JONES,,WDF5940,31,15,13,6,,,B,ew
565509000,35.90226221104035,-1.1859849398956206,14.6,53,56,CRIMSON RAY,IMO9347152,S6BB8,80,0,144,25,9.4,80,B,we
367514520,35.706459012616925,-4.503660512903915,0,-141.4,511,VICKI LYNN,,WDG2326,31,12,16,6,,,B,we
338570000,36.11489983064674,17.657068878980724,8.3,138.1,139,BAYPORT,IMO8993784,WCZ4240,90,3,90,16,,33,B,ew
367198880,29.91738,-89.92688,0,196,511,DIXIE LEE EYMARD,,WDD8420,31,0,18,7,,31,B,
367331150,31.48587700874299,32.030345569228096,0,-172.2,511,BROTHER WILSON,,WDE2902,31,0,38,13,,31,B,sw
246244000,36.54832965329439,30.924683752683507,0,-65.6,344,ROLLDOCK SEA,IMO9404704,PBPF,70,5,140,24,5.6,,A,
367532850,31.439194355181986,29.76178220833473,10.5,-131.5,511,CAMILLE B BARRETT,IMO8836663,WDG4089,31,0,59,16,,,B,sn
246506000,36.705102964137055,31.1060363940365,15.7,102,102,VEENDAM,IMO9102992,PHEO,60,5,219,30,7.7,69,B,
367642490,45.98404831970804,31.678380255679993,0,-171.8,511,MISS WHITNEY,IMO8992936,WDH6876,31,0,17,7,,,B,ns
636017322,45.96485537808287,31.446691442439917,12.7,199.5,200,SOUTHERN OWL,IMO9773143,D5KI8,80,0,156,,,,B,ns
367370160,45.28361775673913,36.57322563468508,3.5,33.7,511,LADY LOREN,IMO9558062,WDE5677,31,0,23,8,2.4,31,B,
316607241,40.789781623378296,28.76710698606954,10.7,-88.6,321,OJIBWAY,IMO5105831,CFN4292,70,0,194,20,7.8,70,B,
367575520,36.56290766635934,30.632688035466327,0,-197.8,159,HOS COMMANDER,IMO9647564,WDG8249,90,0,97,19,6,,B,
369305000,35.19349577977828,27.129651600448664,5.4,-148.1,256,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B,sn
367428930,35.968774750748,26.97136295912936,0.1,-177.9,511,FREEDOM,,WDF2513,60,,29,5,,,B,sn
367531790,36.56296970070831,30.79335113595875,4.4,58.3,58,SALLIE ANN,,WDG3990,70,5,24,9,,,B,
366838630,42.69694578890652,30.193968516857367,0,-186.6,56,STARFLEET PATRIOT,IMO8734657,WDA7014,60,0,42,8,,69,B,ns
367422720,41.62277224825234,30.060526893885708,0,19.7,349,ARNE CHRISTIANSEN,,WDE9907,31,0,34,10,,31,B,ns
367122220,41.02413769522036,29.019202490830622,0,-118.1,154,REVOLUTION,IMO9369203,WDD2974,31,0,23,10,4.6,52,B,
367162940,34.72329852620248,29.21942581590991,0.1,-155.5,511,SAN JACINTO,,WDD5743,31,0,16,7,,,B,sw
367691290,36.47677598954365,31.239239868596574,0,-49.6,511,MISS LEXY,IMO8719530,WDI3727,30,15,23,6,,,B,
367143460,31.32489995824494,29.037541975007567,0,9.6,511,SAN FRANCISCO SPIRIT,,WDD4339,69,0,45,14,2.5,69,B,sn
367003590,35.98797623247291,26.96381191781596,0,65.2,350,CSS ATLANTA,,WDC3182,31,12,18,7,,,B,sn
212275000,38.80035641170066,7.9188929012129465,0.7,160.8,185,UBC STOCKHOLM,IMO9426879,5BDB3,70,0,171,28,10.6,,B,ew
367327560,39.88914053445712,2.7440221630725707,0,-151.6,320,CINDY HULL,,WDE2631,31,0,26,9,,,B,ew
367040920,44.207208143405104,30.413358728518602,0,-49.6,511,CLEAN SWEEP,,WCS5744,31,0,17,6,,,B,ns
367061620,43.00388891689863,30.27503663167398,0,-195.5,511,HANNAH MARIE,IMO7230630,WDC6809,31,0,32,9,3.8,,B,ns
367605450,42.88276050566564,29.97796099445548,0,63.8,341,BRYANT-T,,WDJ5430,31,12,14,5,,,B,sn
538005783,40.79652133365146,28.97056075986383,0.2,48.4,7,NAVIG8 ARAGONITE,IMO9727558,V7GX9,80,0,184,,,,B,
366899490,41.02938530064317,28.980241834996647,4.3,-112.1,299,EASTERN WIND,IMO9010486,WDB4538,70,0,59,12,5.5,,A,
338138391,36.18603857904872,27.870594721550333,1.4,100.5,511,KOLOKEA,,,37,,17,,,,B,sw
368004000,36.031869434038114,27.479381250388553,14.6,194,185,BRENTON REEF,IMO9144926,KREQ,80,0,188,32,12.2,,B,sw
367337960,35.71820240666652,27.78835155544106,0,-113.8,87,GALVESTON,IMO9503160,WDE3363,31,0,46,14,6.9,57,B,sw
368075180,39.33064250024064,24.52328969733675,0,-186.9,511,RICHARD O,IMO0000001,WDK6504,57,12,22,9,2.9,57,B,sw
367473490,36.47157659336774,31.30350854390821,3.4,87.7,511,ST THOMAS,,WDF6366,31,0,23,10,,,B,
311734000,39.61728139760916,0.13765550466159204,16.3,46,48,MAJESTY OF THE SEAS,IMO8819512,C6FZ8,60,0,268,36,7.5,66,B,ew
367597820,40.01953039506713,-0.07206370454291296,0,-192,511,CAJUN,,WDH2458,31,12,21,,,,B,ew
366909510,44.47981446368584,37.361109356909175,0.2,87.4,511,MARGARET MCALLISTER,IMO8990469,WDB5426,31,0,32,9,4.3,52,B,ns
369970630,45.286473301294016,36.50673655564322,0,-160.7,511,DAVENPORT,,AEMK,,0,,,,,B,
367488250,41.00765103090911,28.97903898683683,0,43,511,SUNNYVALE,IMO8851455,WDF7798,30,0,23,7,,30,B,
366997920,31.51156505487392,32.42181876355944,0,-101.1,42,RANDY ECKSTEIN,IMO8991009,WDC2803,31,12,22,10,,,B,sw
367532810,36.368657847768745,30.766239631819122,0,0,511,LES GRIMM,IMO8836687,WDG4085,31,0,39,11,,,B,
367047150,36.36250853701677,31.492012719493243,1.4,-182.9,207,CAPTAIN BOB,,WDC5835,31,0,30,10,,,B,
369970441,43.13638390754352,31.047550519405434,0,-173.5,84,SNELL,,AEGC,90,5,,,,0,A,sn
367456940,37.896920595043085,26.126824587604805,5.6,60.8,60,NED MERRICK,,WDF4891,31,0,41,10,,,B,sw
367339560,36.30980055688903,31.221841982903356,0,-57.8,511,CITY OF PORTLAND,,WDE9667,90,15,19,,,58,B,
367579920,32.07057114099148,31.756415932614722,6.3,-70.7,341,SAVAGE INSPIRATION,,WDG8667,31,15,23,,,,B,sw
367649760,35.17649075557428,27.47746378456228,0,0,511,ARIZONA,,WDH7602,31,15,24,6,,,B,sn
367796610,36.37924060591352,31.25105301133236,2.2,62,66,HOUSTON,IMO9833204,WDJ6320,90,0,,,,,A,
367391260,36.951637453195545,16.950950187615675,10.4,149.6,511,ROBERT H DEDMAN,IMO9207003,WCY9892,60,0,80,19,3.2,,A,ew
